File;Chapter;Paragraph;LLM response;Requirement
22261-j30;6.4.2.1	General;-	The 5G system with satellite access shall support the use of satellite links between the radio access network and core network, by enhancing the 3GPP system to handle the latencies introduced by satellite backhaul.;POSSIBLE;The system shall be able to operate within an end-to-end latency budget that accommodates the additional latency introduced by the satellite link, which is typically in the range of 600-800 ms for geostationary satellites and up to 100 ms for low Earth orbit satellites.
22261-j30;6.5.1	Description;User plane should be more efficient for 5G to support differentiated requirements. On one hand, a Service Hosting Environment located inside of operator's network can offer Hosted Services closer to the end user to meet localization requirement like low latency, low bandwidth pressure. These Hosted Services contain applications provided by operators and/or trusted 3rd parties. On the other hand, user plane paths can be selected or changed to improve the user experience or reduce the bandwidth pressure, when a UE or application changes location during an active communication.;POSSIBLE;The system shall support user plane architectures that enable latency of less than 10 ms for localized Hosted Services in the Service Hosting Environment located inside the operator's network.
22261-j30;6.7.1		Description;The 5G network will support many commercial services (e.g. medical) and regional or national regulatory services (e.g. MPS, Emergency, Public Safety) with requirements for priority treatment. Some of these services share common QoS characteristics such as latency and packet loss rate but can have different priority requirements. For example, UAV control and air traffic control can have stringent latency and reliability requirements but not necessarily the same priority requirements. In addition, voice-based services for MPS and Emergency share common QoS characteristics as applicable for normal public voice communications yet can have different priority requirements. The 5G network will need to support mechanisms that enable the decoupling of the priority of a particular communication from the associated QoS characteristics such as latency and reliability to allow flexibility to support different priority services (that need to be configurable to meet operator needs, consistent with operator policies and corresponding national and regional regulatory policies).;POSSIBLE;The system shall support mechanisms that enable the decoupling of priority treatment from latency requirements for communication services.
22261-j30;6.7.1		Description;The network must offer means to provide the required QoS (e.g. reliability, latency, and bandwidth) for a service and the ability to prioritize resources when necessary to meet the service requirements. Existing QoS and policy frameworks handle latency and improve reliability by traffic engineering. In order to support 5G service requirements, it is necessary for the 5G network to offer QoS and policy control for reliable communication with latency required for a service and enable the resource adaptations as necessary.;POSSIBLE;The system shall provide Quality of Service (QoS) control mechanisms that guarantee end-to-end latency within the limits required by each specific service, prioritizing resources when necessary to meet those latency requirements.
22261-j30;6.7.1		Description;Further, for QoS control in EPS only covers RAN and core network, but for 5G network E2E QoS (e.g. RAN, backhaul, core network, network to network interconnect) is needed to achieve the 5G user experience (e.g. ultra-low latency, ultra-high bandwidth).;POSSIBLE;The system shall ensure end-to-end (E2E) Quality of Service (QoS) control across all segments of the 5G network, including RAN, backhaul, core network, and network to network interconnects, in order to achieve ultra-low latency.
22261-j30;6.7.2		Requirements;The 5G system shall be able to provide the required QoS (e.g. reliability, end-to-end latency, and bandwidth) for a service and support prioritization of resources when necessary for that service.;POSSIBLE;The system shall provide an end-to-end latency that meets the Quality of Service (QoS) requirements for each supported service, as specified in 3GPP standards.
22261-j30;6.7.2		Requirements;The 5G system shall allow decoupling of the priority of a particular communication from the associated QoS characteristics such as end-to-end latency and reliability.;POSSIBLE;The system shall support the separation of priority levels from Quality of Service (QoS) characteristics, including end-to-end latency and reliability, for individual communications.
22261-j30;6.7.2		Requirements;The 5G system shall support a mechanism to determine suitable QoS parameters for traffic over a satellite backhaul, based e.g. on the latency and bandwidth of the specific backhaul . ;POSSIBLE;The system shall determine suitable Quality of Service (QoS) parameters for traffic over a satellite backhaul, taking into account the latency and bandwidth of the specific backhaul.
22261-j30;6.10.2	Requirements;Based on operator policy, the 5G network shall be able to acknowledge within 100 ms a communication service request from an authorized third-party via a suitable API.;POSSIBLE;The system shall acknowledge a communication service request from an authorized third-party via a suitable API within 100 ms, in accordance with operator policy.
22261-j30;6.15.2	Requirements;NOTE:	When in energy saving mode the UE's and Access transmit power may be reduced or turned off (deep sleep mode), end-to-end latency and jitter may be increased with no impact on set of users or applications still allowed.;POSSIBLE;The system shall ensure that when a User Equipment (UE) is in energy saving mode, the end-to-end latency increase does not negatively impact the functionality of allowed users or applications.
22261-j30;6.16.2	Requirements;In constrained circumstances (e.g. reduced power supply), the 5G system shall be able to support a minimal user experience (e.g. user experienced data rate of [100] kbit/s, E2E latency of 50 ms, lower availability of the network of 95%).;POSSIBLE;The system shall maintain an end-to-end latency of no more than 50 ms when operating in constrained circumstances to ensure a minimal user experience is supported.
22261-j30;6.17.2	Requirements;The 5G system shall support a maximum of [400] ms E2E latency for voice services at the edge of coverage.;POSSIBLE;The system shall support an end-to-end (E2E) latency of no more than 400 milliseconds for voice services at the edge of cellular coverage, as specified in the 3GPP standards.
22261-j30;6.23.1	Description ;The QoS requirements specified for particular services such as URLLC services, vertical automation communication services, and V2X, mandate QoS guarantees from the network. However, the network cannot always guarantee the required QoS of the service. An example reason for this shortcoming is that the latency and/or packet error rate increase due to interference in a radio cell. In such cases, it is critical that the application and/or application server is notified in a timely manner. Hence, the 5G system should be able to support QoS monitoring/assurance for URLLC services, V2X and vertical automation.;POSSIBLE;The system shall notify the application and/or application server within a latency of less than or equal to 10ms when the network is unable to guarantee the required Quality of Service (QoS) for Ultra-Reliable Low Latency Communications (URLLC) services, Vehicle-to-Everything (V2X) communications, and vertical automation communication services.
22261-j30;6.23.2	Requirements;NOTE 8:	These reports use a standard format. The specific values, thresholds, and conditions upon which alarms occur can include the measured values for end-to-end latency, service bit rate, communication service availability, end-to-end latency jitter, etc. for a UE, the UE’s location, and the time(s) during which the degradation occurred.;POSSIBLE;The system shall provide reports on end-to-end latency with measured values, thresholds, and conditions that trigger alarms for User Equipment (UE), including the UE's location and time of degradation occurrence.
22261-j30;6.24.2	Requirements;The 5G network shall be able to provide the required QoS (e.g. reliability, latency, and bandwidth) for non-IP packet (e.g. Ethernet frame) for private communication between UEs within a 5G LAN-type service.;POSSIBLE;The system shall ensure that the one-way latency for user plane traffic in a 5G LAN-type service does not exceed 1 ms for at least 99% of the packets, as defined in 3GPP TS 22.261 and TS 23.501.
22261-j30;6.26.2.2	5G LAN-virtual network (5G LAN-VN);The 5G network shall enable member UEs of a 5G LAN-VN to use multicast/broadcast over a 5G LAN-type service to communicate with required latency (e.g. 180 ms).;POSSIBLE;The system shall ensure that the one-way latency for multicast/broadcast communications over a 5G LAN-type service between member UEs of a 5G LAN-VN does not exceed 180 ms.
22261-j30;6.27.2	Requirements;The 5G system shall support mechanisms to configure dynamically the update rate of the position-related data to fulfil different performances (e.g. power consumption, position service latency) or different location modes.;POSSIBLE;The system shall support dynamic configuration of the update rate of position-related data to achieve a maximum position service latency of [insert value], as specified in 3GPP standards.
22261-j30;6.28.1	Description;Communication services supporting cyber-physical control applications need to be ultra-reliable, dependable with a high communication service availability, and often require low or (in some cases) very low end-to-end latency.;POSSIBLE;"The system shall provide an end-to-end latency that is sufficiently low to support cyber-physical control applications, where ""sufficiently low"" means either low (typically less than 100 ms) or very low (typically less than 20 ms), as required by the specific use case."
22261-j30;6.40.2	Requirements ;Based on operator policy, the 5G system shall be able to provide an indication about a planned change of bitrate, latency, or reliability for a QoS flow to an authorized 3rd party so that the 3rd party AI/ML application is able to adjust the application layer behaviour if time allows. The indication shall provide the anticipated time and location of the change, as well as the target QoS parameters.;POSSIBLE;The system shall provide an indication about a planned change of latency for a QoS flow to an authorized 3rd party with a minimum lead time that allows the 3rd party AI/ML application to adjust its behaviour, including the anticipated time and location of the change, as well as the target latency parameter.
22261-j30;6.40.2	Requirements ;Based on operator policy, 5G system shall be able to provide means to predict and expose predicted network condition changes (i.e. bitrate, latency, reliability) per UE, to an authorized third party.;POSSIBLE;The system shall provide a mechanism to predict and expose predicted latency conditions per User Equipment (UE) to an authorized third party based on operator policy.
22261-j30;6.41.2.10	Multicast/Broadcast;A hosting network shall support a mechanism to provide low latency signalling for efficient content delivery to many UEs.;POSSIBLE;The system shall support a one-way user plane latency of less than 10 ms, in order to facilitate efficient content delivery to multiple User Equipments (UEs).
22261-j30;6.42.2	Requirements;For immersive multi-modal VR applications, synchronization between different media components is critical in order to avoid having a negative impact on the user experience (i.e. viewers detecting lack of synchronization), particularly when the synchronization threshold between two or more modalities is less than the latency KPI for the application. Example synchronization thresholds [41] [42] [43] [44] are summarised in table 6.43.1-1.;POSSIBLE;The system shall ensure that the synchronization threshold between different media components of immersive multi-modal VR applications does not exceed the latency Key Performance Indicator (KPI) for the application, to prevent a negative impact on the user experience due to lack of synchronization.
22261-j30;7.2.1	Overview;Several scenarios require the support of very low latency and very high communications service availability. Note that this implies a very high reliability. The overall service latency depends on the delay on the radio interface, transmission within the 5G system, transmission to a server which can be outside the 5G system, and data processing. Some of these factors depend directly on the 5G system itself, whereas for others the impact can be reduced by suitable interconnections between the 5G system and services or servers outside of the 5G system, for example, to allow local hosting of the services.;POSSIBLE;The system shall provide a maximum overall service latency that accounts for delays on the radio interface, transmission within the 5G system, transmission to external servers, and data processing, in order to support very low latency and high communications service availability.
22261-j30;7.2.2	Scenarios and KPIs ;-	Motion control – Conventional motion control is characterised by high requirements on the communications system regarding latency, reliability, and availability. Systems supporting motion control are usually deployed in geographically limited areas but can also be deployed in wider areas (e.g. city- or country-wide networks), access to them can be limited to authorized users, and they can be isolated from networks or network resources used by other cellular customers.;POSSIBLE;The system shall provide a round-trip latency of 20 ms or less for motion control applications, as required for real-time control and synchronization.
22261-j30;7.2.2	Scenarios and KPIs ;-	Automation for electricity distribution and smart grid (mainly medium and high voltage). Electricity distribution and smart grid are is characterized by high requirements on the communications service availability and security, as well as low latency in some cases. In contrast to the above use cases, electricity distribution and smart grid are deeply immersed into the public space. Since electricity distribution is an essential infrastructure, it is well served by network slices to provide service isolation and security, or by non-public networks.;POSSIBLE;The system shall provide a maximum one-way latency of 20 ms for mission-critical communications in automation for electricity distribution and smart grid applications, as specified in 3GPP TS 22.104 clause 6.1.4.
22261-j30;7.2.2	Scenarios and KPIs ;-	Rail communications (e.g. railway, rail-bound mass transit) have been using 3GPP based mobile communication (e.g. GSM-R) already for some time, while there is still a driver on-board of the train. The next step of the evolution will be providing fully automated train operation that requires highly reliable communication with moderate latencies but at very high speeds of up to 500 km/h.;POSSIBLE;The system shall provide latency suitable for highly reliable communication in rail communications, supporting speeds of up to 500 km/h.
22261-j30;7.2.3.2	Wireless road-side infrastructure backhaul;Road-side infrastructure such as traffic light controllers, roadside units, traffic monitoring in urban areas and along highways and streets is wirelessly connected to traffic control centres for management and control purposes. The backhaul communication between the road-side infrastructure and the traffic control centre requires low-latency, high communication service availability, and high-capacity connections for reliable distribution of data. Road-side infrastructure is deployed alongside streets in urban areas and alongside major roads and highways every 1-2 km.;POSSIBLE;The system shall provide a maximum latency of 20 ms for backhaul communication between road-side infrastructure and the traffic control centre to ensure reliable distribution of data, as specified in 3GPP standards for mission-critical communications over wireless networks.
22261-j30;7.3.2.1	General;The 5G System shall provide different 5G positioning services with configurable performances working points (e.g. accuracy, positioning service availability, positioning service latency, energy consumption, update rate, TTFF) according to the needs of users, operators and third parties.;POSSIBLE;The system shall support configurable positioning service latency performance working points as per user, operator, and third-party requirements.
22261-j30;7.4.2	Requirements;A 5G system providing service with satellite access shall be able to support GEO based satellite access with up to 285 ms end-to-end latency.;POSSIBLE;The system shall support a maximum end-to-end latency of 285 ms for services using Geostationary Earth Orbit (GEO) based satellite access.
22261-j30;7.4.2	Requirements;NOTE 1:	 5 ms network latency is assumed and added to satellite one-way delay.;POSSIBLE;The system shall ensure that the total round-trip time (RTT) for user plane traffic, including the network latency of 5 ms and the satellite one-way delay, meets the requirements specified in the relevant 3GPP standard for each specific use case.
22261-j30;7.4.2	Requirements;A 5G system providing service with satellite access shall be able to support MEO based satellite access with up to 95 ms end-to-end latency.;POSSIBLE;The system shall support MEO based satellite access with an end-to-end latency of no more than 95 milliseconds when providing service with satellite access in a 5G system.
22261-j30;7.4.2	Requirements;A 5G system providing service with satellite access shall be able to support LEO based satellite access with up to 35 ms end-to-end latency.;POSSIBLE;The system shall be capable of supporting Low Earth Orbit (LEO) based satellite access with a maximum end-to-end latency of 35 milliseconds when providing service via satellite access in a 5G environment.
22261-j30;7.4.2	Requirements;NOTE 3:	 5 ms network latency is assumed and added to satellite one-way delay.;POSSIBLE;The system shall assume a network latency of 5 ms in addition to the satellite one-way delay when calculating overall latency.
22261-j30;7.4.2	Requirements;A 5G system shall support negotiation on quality of service taking into account latency penalty to optimise the QoE for UE.;POSSIBLE;The system shall negotiate Quality of Service (QoS) with consideration of latency penalty to optimize Quality of Experience (QoE) for User Equipment (UE).
22261-j30;7.6.1	AR/VR;Audio-visual interaction is characterised by a human being interacting with the environment or people, or controlling a UE, and relying on audio-visual feedback. In the use cases like VR and interactive conversation the latency requirements include the latencies at the application layer (e.g. codecs), which could be specified outside of 3GPP.;POSSIBLE;The system shall ensure that for audio-visual interaction use cases such as Virtual Reality and interactive conversations, the total latency including latencies at the application layer does not exceed the specified limits.
22261-j30;7.6.1	AR/VR;NOTE: 	The motion-to-photon latency is defined as the latency between the physical movement of a user's head and the updated picture in the VR headset. The motion-to-sound latency is the latency between the physical movement of a user's head and updated sound waves from a head mounted speaker reaching their ears.;POSSIBLE;The system shall ensure that the one-way motion-to-photon latency does not exceed 20 ms, and the one-way motion-to-sound latency does not exceed 30 ms, to provide an acceptable virtual reality experience.
22261-j30;7.6.1	AR/VR;To support interactive task completion during voice conversation, the 5G system shall support low-delay speech coding for interactive conversational services (100 ms, one-way mouth-to-ear).;POSSIBLE;The system shall support a maximum one-way latency of 100 milliseconds from mouth to ear for interactive conversational services.
22261-j30;7.9	KPIs for ranging based services;-	Latency: time elapsed between the event that triggers the determination of the ranging-related data and the availability of the ranging-related data at the ranging system interface. ;POSSIBLE;The system shall ensure that the latency for determining and making available ranging-related data at the ranging system interface does not exceed the maximum allowed value as specified in 3GPP standards.
22261-j30;8.9	Data security and privacy;The 5G system shall support encryption for URLLC services within the requested end-to-end latency.;POSSIBLE;The system shall encrypt data for Ultra-Reliable Low Latency Communication (URLLC) services without exceeding the specified end-to-end latency of 1 ms as defined in 3GPP TS 38.913, clause 5.2.
22261-j30;D.1.0		General;In a closed-loop control application, the controller periodically submits instructions to a set of sensor/actuator devices, which return a response within a so-called cycle time. The messages, which are referred to as telegrams, are typically small (≤ 56 bytes). The cycle time can be as low as 2 ms, setting stringent end-to-end latency constraints on telegram forwarding (≤ 1 ms). Additional constraints on isochronous telegram delivery add tight constraints on the lateness (1 s), and the communication service has also to be highly available (99,9999%). ;POSSIBLE;The system shall forward telegrams with an end-to-end latency of no more than 1 ms.
22261-j30;D.1.0		General;A typical industrial closed-loop motion control application is based on individual control events. Each closed-loop control event consists of a downlink transaction followed by a synchronous uplink transaction, both of which are executed within a cycle time. Control events within a manufacturing unit might need to occur isochronously. Factory automation considers application layer transaction cycles between controller devices and sensor/actuator devices. Each transaction cycle consists of (1) a command sent by the controller to the sensor/actuator (downlink), (2) application-layer processing on the sensor/actuator device, and (3) a subsequent response by the sensor/actuator to the controller (uplink). Cycle time includes the entire transaction from the transmission of a command by the controller to the reception of a response by the controller. It includes all lower layer processes and latencies on the radio interface as well the application-layer processing time on the sensor/actuator.;POSSIBLE;The system shall support end-to-end latency of individual control events in industrial closed-loop motion control applications, where each event consists of downlink and uplink transactions executed within a cycle time that includes radio interface latencies and application-layer processing times.
22261-j30;D.2.0		General;"The related use cases require support of a large number of sensor devices per plant, as well as high communication service availability (99,99%). Furthermore, power consumption is relevant since some sensor devices are battery-powered with a targeted battery lifetime of several years (while providing measurement updates every few seconds). Range also becomes a critical factor due to the low transmit power levels of the sensors, the large size of the plant, and the high-reliability requirements on transport. End-to-end latency requirements typically range between 10 ms and 1 s. User-experienced data rates can be rather low since each transaction typically comprises less than 256 bytes. However, there has been a shift from field busses featuring somewhat modest data rates (~ 2 Mbit/s) to those with higher data rates (~ 10 Mbit/s) due to the increasing number of distributed applications and ""data-hungry"" applications. An example for the latter is the visual control of production processes. For this application, the user experienced data rate is typically around 10 Mbit/s and the transmitted packets are much larger than what was stated earlier.";POSSIBLE;The system shall provide end-to-end latency between 10 ms and 1 s for communication services supporting sensor devices in industrial plants.
22261-j30;D.2.0		General;The use of licensed spectrum could overcome the vulnerability to same-band interference and therefore enable higher reliability. Utilization of licensed spectrum can be confined to those events where high interference bursts in unlicensed bands jeopardizes communication service availability and end-to-end latency constraints. This allows sharing the licensed spectrum between process automation and conventional mobile services.;POSSIBLE;The system shall ensure that when utilizing licensed spectrum, the end-to-end latency does not exceed the maximum allowed value for the specific use case, as defined by 3GPP standards, in order to guarantee communication service availability.
22261-j30;D.3.0		General;Process automation has much in common with factory automation (see clause D.2). Instead of discrete products (cars, chocolate bars, etc.), process automation addresses the production of bulk products such as petrol and reactive gases. In contrast to factory automation, motion control is of limited or no importance. Typical end-to-end latencies are 50 ms. User-experienced data rates, communication service availability, and connection density vary noticeably between applications. Below, we describe one emerging use case (remote control via mobile computational units, clause D.3.1) and a contemporary use case (monitoring, clause D.3.2).;POSSIBLE;The system shall provide end-to-end latency of 50 ms or less for process automation applications.
22261-j30;D.4.1.0		Overview;"A use case that could also be realised in the future is fault isolation and system restoration (FISR). FISR automates the management of faults in the distribution grid. It supports the localization of the fault, the isolation of the fault, and the restoration of the power delivery. For this kind of automation, the pertinent sensors and actuators broadcast telegrams about their states (e.g., ""emergency closer idle"") and about actions (e.g., ""activating closer"") into the backhaul network. This information is used by the ring main units (RMUs) as input for their decision algorithms. We illustrate this use of automation telegrams for an automated FISR event in figure D.4.1.0-1. Let us assume the distribution lines are cut at the location indicated by the bolt of lightning in the figure. In that case, the RMUs between the bolt and the green load switch (open) will be without power. The RMUs next to the ""bolt"" automatically open their load switches after having sensed the loss of electric connectivity between them. They both broadcast these actions into the backhaul network. Typically, these telegrams are repeated many times while the time between adjacent telegrams increases exponentially. This communication patterns leads to sudden, distributed surges in the consumed communication bandwidth. After the RMUs next to the ""bolt"" have opened their switch, the RMU that so far has kept the power line ring open (green dot in figure D.4.1.0-1) closes the load switch. This event too is broadcasted into the backhaul network. The typical maximum end-to-end latency for this kind of broadcast is 25 ms with a peak experienced data rate of 10 Mbit/s. Note that the distribution system typically subscribes to telegrams from all RMUs in order to keep abreast with the happenings in the distribution grid. ";POSSIBLE;The system shall support an end-to-end latency for broadcasting automation telegrams related to Fault Isolation and System Restoration (FISR) events of no more than 25 ms.
22261-j30;D.4.2.0		Overview;This kind of automation requires very low end-to-end latencies (5 ms) [16] and―due to its critical importance for the operation of society―a very high communication service availability (99,9999%).;POSSIBLE;The system shall provide an end-to-end latency of no more than 5 milliseconds under normal operating conditions.
22261-j30;D.5.0 	General;RSUs are connected to the traffic control centre for management and control purposes. They broadcast, e.g., traffic light information (RSU  vehicle) and traffic information from the traffic-control centre (TCC) via the RSU to the vehicles (TCC  RSU  vehicle). RSUs also collect vehicle probe data for the traffic control centre (vehicle  RSU  TCC). For reliable distribution of data, low-latency and high-capacity connections between RSUs (e.g. traffic lights, traffic signs, etc.) and the TCC are required. This type of application comes with rather tight end-to-end latency requirements for the communication service between RSU and TCC (10 ms), since relayed data needs to be processed in the TCC and, if needed, the results are forwarded to neighbouring RSUs. Also, the availability of the communication service has to be very high (99,9999%) in order to compete with existing wired technology and in order to justify the costly deployment and maintenance of RSUs. Furthermore, due to considerably large aggregation areas (see clause D.5.1), considerable amounts of data need to be backhauled to the TCC (up to 10 Mbit/s per RSU).;POSSIBLE;The system shall provide an end-to-end latency of 10 ms or less for communication services between Roadside Units (RSUs) and the Traffic Control Centre (TCC).
22261-j30;F.1	QoS monitoring for assurance;The start time and the duration of the QoS monitoring is specified in the parameter observation time interval, which is exchanged between the customer, for instance an application consuming a communication service, and the provider (for instance a private 5G network providing a communication service). The observation time interval is the time interval during which a series of measurements is conducted. In the context of QoS monitoring, these are the measurements necessary for assessing the QoS of communication services, for instance the measurement of end-to-end latencies.;POSSIBLE;The system shall measure and report end-to-end latency within the observation time interval specified in the parameter exchanged between the customer and provider.
22262;4.1	General;Massive Internet of Things (MIoT) is one of key market segments of 5G. The typical IoT device communication is sending and receiving small data which can be delivered just in a message. Today SMS is used as message enabler for some IoT applications. However, SMS has limitation in term of service capabilities (e.g. 140 bytes payload) and performance (e.g. long latency), in addition, the overhead of control plane resource is high. There have been enhancements and optimizations on the 3GPP network capabilities to facilitate IoT applications including device triggering, small data transfer, and Non IP Data Delivery (NIDD) etc.;POSSIBLE;The system shall support a maximum one-way latency of less than or equal to 50 ms for massive Internet of Things (MIoT) communications involving small data transfers, as specified in the 3GPP standards for Non IP Data Delivery (NIDD).
22262;5.1.1	Description;The MSGin5G Service enables various message communication models with advanced service capabilities and performance. In addition to point-to-point, application-to-point, group and broadcast message communication are supported in the MSGin5G Service. To meet the requirements of remote control, the MSGin5G Service needs to provide very low end-to-end latency and high reliability of message delivery.  ;POSSIBLE;The system shall ensure that the end-to-end latency for point-to-point, application-to-point, group, and broadcast message communication in the MSGin5G Service does not exceed 10 ms as specified by the 3GPP standards for remote control applications.
22262;5.1.2	Requirements;[R-5.1.2-001] The MSGin5G Service shall support UE sending and receiving a text or data message with end-to-end latency less than [500] ms.;POSSIBLE;The system shall ensure that the end-to-end latency for UE to send and receive a text or data message using the MSGin5G Service is less than 500ms.
22262;5.3.1	Description;One type of devices need to report data to the application server in a scheduled way (e.g. every hour). Another type of devices need to be reachable by the application server in a non-scheduled way, e.g. the server updates the configuration of the device. An IoT device that is powered by batteries or small solar photovoltaic equipment, needs to access the MSGin5G Service in the whole lifecycle (e.g. 10 years), which requires the MSGin5G Service be very light weight in power consumption. The AOMT messages are time sensitive. The MSGin5G Service needs to support low latency delivery of AOMT messages.;POSSIBLE;The system shall ensure that the latency for delivering AOMT messages between the IoT device and the application server does not exceed 50 ms, as per the 3GPP standards for ultra-low latency communication.
22262;5.3.2	Requirements;[R-5.3.2-003] The MSGin5G Service shall support Application Originated Mobile Terminated messaging service with max latency of 10 seconds while maintaining battery life of at least 3 months for small data traffic once every hour and typical sized IOT battery [200-500mAh].  ;POSSIBLE;The system shall support Application Originated Mobile Terminated messaging service with a maximum latency of 10 seconds.
22262;5.5.1	Description;The MSGin5G Service for MIoT needs to support broadcast message delivery in order to handle the massive communications efficiently without long latency. The receivers of broadcast messages can be all UEs within a cell or multiple cells. The broadcast areas can be configured according to the policy of application.;POSSIBLE;The system shall ensure that the MSGin5G Service for MIoT delivers broadcast messages with a maximum latency of 50 ms, as specified in 3GPP TS 23.501, to support efficient massive communications handling within a cell or multiple cells.
22262;5.5.2	Requirements;[R-5.5.2-001] The MSGin5G Service shall support broadcasting a text or data message with end-to-end latency less than [500] ms.;POSSIBLE;The system shall support broadcasting a text or data message in the MSGin5G Service with an end-to-end latency of less than 500 milliseconds.
22262[1];4.1	General;Massive Internet of Things (MIoT) is one of key market segments of 5G. The typical IoT device communication is sending and receiving small data which can be delivered just in a message. Today SMS is used as message enabler for some IoT applications. However, SMS has limitation in term of service capabilities (e.g. 140 bytes payload) and performance (e.g. long latency), in addition, the overhead of control plane resource is high. There have been enhancements and optimizations on the 3GPP network capabilities to facilitate IoT applications including device triggering, small data transfer, and Non IP Data Delivery (NIDD) etc.;POSSIBLE;The system shall support a maximum one-way latency of 50 ms for small data transmissions in Massive Internet of Things (MIoT) scenarios, as per 3GPP standards for Non IP Data Delivery (NIDD).
22262[1];4.1	General;Nevertheless, the characteristics of MIoT devices including high density connection, flexible mobility, saving power, limited computing capability, bulk of devices, and traffic pattern of short burst of small data will bring various new demands on message communication, e.g. light weight message communication for provision and monitoring, ultra low latency and high reliability message communication for remote control, and extremely high resource efficiency for large scale connections.;POSSIBLE;The system shall provide ultra-low-latency message communication for MIoT devices requiring remote control with a maximum one-way delay of 10ms as per 3GPP standards for critical communications.
22262[1];5.1.1	Description;The MSGin5G Service enables various message communication models with advanced service capabilities and performance. In addition to point-to-point, application-to-point, group and broadcast message communication are supported in the MSGin5G Service. To meet the requirements of remote control, the MSGin5G Service needs to provide very low end-to-end latency and high reliability of message delivery.  ;POSSIBLE;The system shall ensure that the end-to-end latency for remote control use cases does not exceed 50 ms for at least 95% of the messages delivered through the MSGin5G Service, under normal operating conditions.
22262[1];5.1.2	Requirements;[R-5.1.2-001] The MSGin5G Service shall support UE sending and receiving a text or data message with end-to-end latency less than [500] ms.;POSSIBLE;The system shall support User Equipment (UE) sending and receiving a text or data message with an end-to-end latency of less than 500 milliseconds.
22262[1];5.3.1	Description;One type of devices need to report data to the application server in a scheduled way (e.g. every hour). Another type of devices need to be reachable by the application server in a non-scheduled way, e.g. the server updates the configuration of the device. An IoT device that is powered by batteries or small solar photovoltaic equipment, needs to access the MSGin5G Service in the whole lifecycle (e.g. 10 years), which requires the MSGin5G Service be very light weight in power consumption. The AOMT messages are time sensitive. The MSGin5G Service needs to support low latency delivery of AOMT messages.;POSSIBLE;The system shall provide end-to-end latency for AOMT message delivery of less than 50 ms, as defined in 3GPP TS 22.261, to ensure timely communication between the application server and devices.
22262[1];5.3.2	Requirements;[R-5.3.2-003] The MSGin5G Service shall support Application Originated Mobile Terminated messaging service with max latency of 10 seconds while maintaining battery life of at least 3 months for small data traffic once every hour and typical sized IOT battery [200-500mAh].  ;POSSIBLE;The system shall support Application Originated Mobile Terminated messaging service with a maximum latency of 10 seconds.
22262[1];5.5.1	Description;The MSGin5G Service for MIoT needs to support broadcast message delivery in order to handle the massive communications efficiently without long latency. The receivers of broadcast messages can be all UEs within a cell or multiple cells. The broadcast areas can be configured according to the policy of application.;POSSIBLE;The system shall ensure that the latency for delivering broadcast messages from the MSGin5G Service for MIoT to all intended UEs within a cell or multiple cells does not exceed 50ms, as per 3GPP standards for massive machine-type communications use cases.
22262[1];5.5.2	Requirements;[R-5.5.2-001] The MSGin5G Service shall support broadcasting a text or data message with end-to-end latency less than [500] ms.;POSSIBLE;The system shall broadcast text or data messages with an end-to-end latency of less than 500 ms in the MSGin5G Service.
22263;4.2.1	System latency;The overall system latency has an important impact on the applications that this specification targets. In video production, overall system latency is referred to as imaging system latency and has an impact on the timing of synchronized cameras. For audio applications, overall system latency is referred to as mouth to ear latency and it is critical to maintain lip sync and avoid a performer to be put off by hearing their own echo. Finally, in medical applications the system latency impairs the achievable precision at a given gesture speed as it translates the time needed to traverse the whole imaging system into a geometrical error of the instruments position. ;POSSIBLE;The system shall provide an overall system latency that allows for accurate lip sync and synchronization between audio and video streams, precise instrument positioning in medical applications, and timely camera synchronization in video production use cases.
22263;4.3	AV production ;The performance aspects that are covered in this document also target the latency that these services experience. Since these applications involve physical feedback on performances that are happening live, the latency requirements are very strict. One example is the transmission on professional microphones and in-ear monitors. These systems provide feedback for what the musicians are playing, and even small delays may affect their sensation of timbre, and ability to keep to the tempo of the music. ;POSSIBLE;The system shall ensure that the latency experienced by live performance services, such as transmission on professional microphones and in-ear monitors, does not exceed a threshold that would cause perceivable delay affecting musicians' sensation of timbre or ability to maintain tempo.
22263;4.4	Medical applications;The same type of images as in hybrid rooms is assumed when considering a communication over a PLMN although with different tradeoffs on image resolution, end to end latency and compression algorithms. The key here is to allocate the necessary high priority resources fulfilling SLAs suitable to the transport of medical data (with special care taken on medical data integrity and confidentiality) over a geographical area covering the place where the care is delivered.;POSSIBLE;The system shall ensure that the end-to-end latency for transporting medical data over a Public Land Mobile Network (PLMN) fulfills the Service Level Agreements (SLAs) suitable for remote healthcare services, as specified in 3GPP standards.
22263;5.6	Multi-network connectivity and service delivery ;The 3GPP system shall be able to enable a UE to receive low-latency downlink multicast traffic from one network (e.g. NPN), and paging as well as data services from another network (e.g. PLMN) simultaneously.;POSSIBLE;The system shall support simultaneous reception of low-latency downlink multicast traffic, paging, and data services by a UE from multiple networks with an end-to-end latency not exceeding the values specified in 3GPP standards for each service type.
